Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
arachnoid,An arachnoid mater is a delicate membrane that encloses the spinal cord and brain and lies between the pia mater and dura mater.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001636,cellType,,"","",arachnoid,Class,Biosample,Cell,Tissue,"","",""
meningioma,A central nervous system cancer tissue that are manifested in the central nervous system and arise from the arachnoid 'cap' cells of the arachnoid villi in the meninges.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_3565,cellType,,"","",meningioma,Class,Biosample,Cell,Tissue,"","",""
schwannoma,"A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves.","","",FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693,cellType,,"","",schwannoma,Class,Biosample,Cell,Tissue,"","",""
oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.,"","",FALSE,http://purl.obolibrary.org/obo/CL_0000128,cellType,,"","",oligodendrocyte,Class,Biosample,Cell,Cell,"","",""
schwann,Schwann cells are a variety of glial cell that keep peripheral nerve fibres (both myelinated and unmyelinated) alive.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001220,cellType,,"","",schwann,Class,Biosample,Cell,Cell,"","",""
iPSC-derived neuron,"","","",FALSE,Sage Bionetworks,cellType,,"","",iPSC-derived_neuron,Class,Biosample,Cell,iPSC,"","",""
iPSC-derived glia,"","","",FALSE,Sage Bionetworks,cellType,,"","",iPSC-derived_glia,Class,Biosample,Cell,iPSC,"","",""
iPSC-derived astrocytes,"","","",FALSE,Sage Bionetworks,cellType,,"","",iPSC-derived_astrocytes,Class,Biosample,Cell,iPSC,"","",""
monocyte-derived microglia,"","","",FALSE,Sage Bionetworks,cellType,,"","",monocyte-derived_microglia,Class,Biosample,Cell,Primary_Cell,"","",""
iPSC-derived neuronal progenitor cell,"","","",FALSE,Sage Bionetworks,cellType,,"","",iPSC-derived_neuronal_progenitor_cell,Class,Biosample,Cell,iPSC,"","",""
CD138+,"","","",FALSE,"",cellType,,"","",CD138_positive,Class,Biosample,Cell,Cell,"","",""
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium,"","",FALSE,https://www.synapse.org/#!Synapse:syn4590897,cellType,,"","",CNON,Class,Biosample,Cell,Cell,"","",""
teratoma,"A non-seminomatous germ cell tumor characterized by the presence of various tissues which correspond to the different germinal layers (endoderm, mesoderm, and ectoderm). It occurs in the testis, ovary, and extragonadal sites including central nervous system, mediastinum, lung, and stomach","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C3403,cellType,,"","",Teratoma,Class,Biosample,Cell,Cell,"","",""
human foreskin fibroblasts,"generic human foreskin fibroblasts, often used as a control cell in toxicology experiments","","",FALSE,Sage Bionetworks,modelSystemName,,"","",human foreskin fibroblasts,Class,Biosample,Cell,fibroblasts,"","",""
