Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,Note,NF Norm,LegalSource,Who,When,Updateable
Data Sensitivity,Data identifiability.,"Synthetic, Anonymized, Metadata, HIPAA Safe Harbor, HIPAA Expert de-identified, Pseudoanonymized (GDPR), Restricted De-identified, Large scale omics, Sensitive Data (GDPR), Images and Biometric, HIPAA Limited",,TRUE,,Governance Ext Annotation,,,,,Varies,,,"Init, CloseOut",Yes
Data Tier,Data tier.,"Controlled Access, Private",,TRUE,,Governance Ext Annotation,,,,,Varies,,,"Init, CloseOut",Yes
Release Date,Release date – when data can be requested by others.,,,TRUE,,Governance Ext Annotation,,,,,Generally after embargo period,,,"Init, CloseOut",Yes
Attribution,Acknowledgement statement.,,,TRUE,,Governance Ext Annotation,,,,,Unspecified,,,"Init, CloseOut",Yes
License,License of the data or other asset. Some licenses require attribution.,None specified,,TRUE,,Governance Ext Annotation,,,,,Unspecified,,,"Init, CloseOut",Yes
Disposition,Handling of data after usage ends.,"Delete, Deletion with Certificate of Destruction, Return to Contributor",,TRUE,,Governance Ext Annotation,,,,,Unspecified,,,CloseOut,Yes
Synthetic,Computational data derivative that statistically resembles the original data,,,FALSE,,Anonymous,,,,,,,,,
Anonymized,Data that cannot be used alone or with other data to identify a unique individual,,,FALSE,,Anonymous,,,,,,,,,
Metadata,"Dataset description, file annotation, counts and summary statistics",,,FALSE,,De-identified,,,,,,,,,
HIPAA Safe Harbor,Data stripped of 18 direct identifieres per HIPAA rules,,,FALSE,,De-identified,,,,,,,,,
HIPAA Expert de-identified,Data that an expert in statistical and scientific method has determined presents a very small risk to be used to identify an individual,,,FALSE,,De-identified,,,,,,,,,
Pseudoanonymized (GDPR),Data where individual identifiers have been replaced by a code or pseudo (false identifier),,,FALSE,,De-identified,,,,,,,,,
Restricted De-identified,De-identified data whose usage is limited by contractual use.,,,FALSE,,De-identified-with-Restriction,,,,,,,,,
Large scale omics,"Includes genomics, metabolomics, transcriptomics, and proteomics.",,,FALSE,,Controlled,,,,,,,,,
Sensitive Data (GDPR),"Data relating to religion, politics, health or sex life.",,,FALSE,,Controlled,,,,,,,,,
Images and Biometric,"Includes images, fingerprints, facial patterns, voice or typing cadence obtained from technical processing.",,,FALSE,,Controlled,,,,,,,,,
HIPAA Limited,"Data stripped of 16 direct identifiers but that may contain (dates, full zip code, and any age)",,,FALSE,,Controlled-Plus,,,,,,,,,
Internal Notes,,,,FALSE,,Other,,,,,,,,,
IDU Statement,Intended Data Use statement.,,,FALSE,,Initial Access Modifier,,,,,,,,,
Accept Standard Terms of Use,Need to accept terms of use (implemented as click-wrap) to access and use data.,,,FALSE,,Initial Access Modifier,,,,,,,,,
GovernanceTemplate,,,"SynID, EntityLevel, StudyName, PIName, FunderSponsor, DSP, EthicsDocs, OtherDocs, Data Use Permission, Clinical Care Use, Collaboration Required, Ethics Approval Required, Genetic Studies Only, Geographical Restriction, Institution Specific Restriction, No General Methods Research, Non-Commercial Use Only, Not-For-Profit Organization Use Only, Population origins or ancestry research prohibited, Project Specific Restriction, Project Specific Restriction Detail, Publication Moratorium, Publication Required, Research Specific Restriction, Research Specific Restriction Detail, Return to Database or Resource, Time Limit on Use, User Specific Restriction, User Specific Restriction Detail, Source Geography, Jurisdiction, Gov Category, Data Sensitivity, Data Tier, Release Date, Attribution, License, Disposition",FALSE,,Template,,,,,,,,,
Project,,,,,,,,,,,,,,,
Dataset,,,,,,,,,,,,,,,
File,,,,,,,,,,,,,,,
NTAP,,,,,,Funder,,,,,,,,,
CTF,,,,,,Funder,,,,,,,,,
GFF,,,,,,Funder,,,,,,,,,
None,,,,,,,,,,,,,,,
